Comm_Date,ReceivedComms,SentComms
2017-01-04,59,16
2017-01-02,1,2
2017-01-07,5,0
2017-01-08,4,3
2017-01-05,39,7
2017-01-06,26,4
2017-01-09,35,12
2017-01-30,26,12
2017-01-31,22,10
2016-02-29,0,1
2016-02-25,1,1
2016-02-26,0,1
2016-02-28,0,1
2016-02-22,3,1
2016-02-24,0,1
2016-08-04,6,5
2016-08-03,19,7
2016-08-02,22,13
2016-08-01,21,5
2016-08-31,28,5
2016-08-30,29,2
2016-08-29,23,4
2016-08-28,4,1
2016-08-27,5,1
2016-08-15,29,6
2016-08-14,13,1
2016-08-13,6,1
2016-08-12,34,14
2016-08-11,33,4
2016-08-10,15,2
2016-08-09,39,11
2016-08-08,35,13
2016-08-06,0,1
2016-08-05,14,5
2016-08-26,46,6
2016-08-25,42,7
2016-08-24,41,9
2016-08-23,17,5
2016-08-22,12,7
2016-08-21,1,0
2016-08-19,20,9
2016-08-18,10,5
2016-08-17,24,11
2016-08-16,23,4
2016-10-31,32,7
2016-10-28,22,6
2016-10-26,51,9
2016-10-27,42,13
2016-10-20,36,14
2016-10-21,18,6
2016-10-24,50,16
2016-10-25,52,14
2016-10-22,3,1
2016-10-23,8,1
2016-09-28,24,11
2016-10-17,42,12
2016-09-29,33,4
2016-10-18,37,11
2016-10-15,3,1
2016-10-16,6,1
2016-10-19,27,6
2016-10-10,9,2
2016-10-13,48,4
2016-10-14,31,7
2016-10-11,16,2
2016-10-12,20,2
2016-09-30,41,13
2016-09-17,7,1
2016-10-06,22,2
2016-10-07,32,7
2016-09-18,1,1
2016-09-19,30,8
2016-10-04,31,8
2016-10-05,27,3
2016-10-08,0,1
2016-10-09,0,1
2016-10-02,10,2
2016-10-03,47,12
2016-10-01,10,1
2016-09-20,35,4
2016-09-21,25,7
2016-09-22,16,1
2016-09-23,20,4
2016-09-24,0,1
2016-09-25,0,1
2016-09-26,24,8
2016-09-27,11,2
2016-09-06,20,5
2016-09-07,23,5
2016-09-08,26,9
2016-09-09,38,1
2016-09-10,0,1
2016-09-11,0,1
2016-09-12,40,9
2016-09-13,33,9
2016-09-14,25,3
2016-09-15,36,7
2016-09-16,27,2
2016-09-01,30,8
2016-09-02,34,4
2016-09-03,1,5
2016-09-04,1,0
2016-09-05,2,0
2016-11-07,28,7
2016-11-08,29,7
2016-11-06,3,0
2016-11-09,33,2
2016-11-03,46,5
2016-11-04,23,3
2016-11-01,32,3
2016-11-02,27,11
2016-11-30,11,5
2016-11-29,15,4
2016-11-27,5,1
2016-11-28,17,7
2016-11-21,42,17
2016-11-22,42,15
2016-11-20,2,1
2016-11-25,8,1
2016-11-26,27,8
2016-11-23,23,8
2016-11-24,8,1
2016-11-18,24,7
2016-11-19,1,1
2016-11-16,33,10
2016-11-17,28,1
2016-11-10,34,5
2016-11-11,30,1
2016-11-14,29,7
2016-11-15,36,10
2016-11-12,24,1
2016-11-13,12,1
2017-06-01,34,15
2017-06-06,41,8
2017-06-02,44,12
2017-06-03,21,1
2017-06-04,2,1
2017-06-05,48,12
2015-11-25,4,2
2015-12-25,0,1
2015-12-21,11,1
2015-12-29,0,1
2016-06-12,6,4
2016-06-13,34,8
2016-06-10,65,12
2016-06-11,7,1
2016-06-09,42,11
2016-06-07,33,16
2016-06-08,45,15
2016-06-06,51,20
2016-06-03,3,1
2016-06-23,54,15
2016-06-24,27,9
2016-06-21,40,16
2016-06-22,41,10
2016-06-20,80,11
2016-06-18,4,1
2016-06-19,7,4
2016-06-16,62,22
2016-06-17,35,4
2016-06-14,39,15
2016-06-15,41,11
2016-06-01,1,1
2016-06-02,1,1
2016-06-30,36,11
2016-06-29,39,15
2016-06-27,43,13
2016-06-28,42,16
2016-06-25,2,1
2016-06-26,19,2
2017-05-16,64,14
2017-05-17,58,23
2017-05-18,65,4
2017-05-19,38,17
2017-05-12,34,7
2017-05-13,4,1
2017-05-14,3,1
2017-05-15,73,20
2017-05-20,13,8
2017-05-21,16,6
2017-05-22,59,26
2017-05-27,1,1
2017-05-28,8,1
2017-05-29,26,9
2017-05-23,37,14
2017-05-24,37,2
2017-05-25,30,3
2017-05-26,33,30
2017-05-30,66,20
2017-05-31,63,13
2017-05-05,17,1
2017-05-06,8,1
2017-05-07,18,1
2017-05-08,21,13
2017-05-01,38,16
2017-05-02,26,10
2017-05-03,41,11
2017-05-04,16,1
2017-05-09,30,8
2017-05-10,35,11
2017-05-11,34,14
2015-10-23,4,2
2015-10-30,1,0
2016-07-25,25,7
2016-07-24,1,0
2016-07-23,2,0
2016-07-22,10,2
2016-07-21,6,2
2016-07-20,18,10
2016-07-19,19,11
2016-07-18,12,7
2016-07-16,0,0
2016-07-15,23,10
2016-07-31,0,1
2016-07-30,0,1
2016-07-29,22,9
2016-07-28,16,8
2016-07-27,22,2
2016-07-26,21,7
2016-07-03,1,1
2016-07-01,29,7
2016-07-14,14,7
2016-07-13,7,3
2016-07-12,15,6
2016-07-11,26,8
2016-07-10,1,1
2016-07-08,26,11
2016-07-07,51,7
2016-07-06,16,7
2016-07-05,30,12
2016-07-04,4,0
2015-10-15,31,8
